Restaurant_Num,Sales,Customer_Count,Week,Day,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday
254,1676.71,235,1,Friday,1,0,0,0,0,0,0
254,0.59,1,1,Monday,0,1,0,0,0,0,0
254,1069.29,146,1,Saturday,0,0,1,0,0,0,0
254,903.32,109,1,Sunday,0,0,0,1,0,0,0
254,1486.67,211,1,Thursday,0,0,0,0,1,0,0
254,1521.55,189,1,Tuesday,0,0,0,0,0,1,0
254,1362.72,191,1,Wednesday,0,0,0,0,0,0,1
254,1544.6,198,2,Friday,1,0,0,0,0,0,0
254,1180.26,167,2,Monday,0,1,0,0,0,0,0
254,932.33,131,2,Saturday,0,0,1,0,0,0,0
254,685.63,87,2,Sunday,0,0,0,1,0,0,0
254,1656.56,219,2,Thursday,0,0,0,0,1,0,0
254,1294.69,187,2,Tuesday,0,0,0,0,0,1,0
254,1268.27,167,2,Wednesday,0,0,0,0,0,0,1
254,1256.23,182,3,Friday,1,0,0,0,0,0,0
254,789.17,112,3,Monday,0,1,0,0,0,0,0
254,798.36,113,3,Saturday,0,0,1,0,0,0,0
254,677.8,101,3,Sunday,0,0,0,1,0,0,0
254,1190.15,154,3,Thursday,0,0,0,0,1,0,0
254,91.06,13,3,Tuesday,0,0,0,0,0,1,0
254,632.79,92,3,Wednesday,0,0,0,0,0,0,1
254,1569.07,205,4,Friday,1,0,0,0,0,0,0
254,1035.47,162,4,Monday,0,1,0,0,0,0,0
254,1156.54,139,4,Saturday,0,0,1,0,0,0,0
254,1106.91,127,4,Sunday,0,0,0,1,0,0,0
254,1556.76,206,4,Thursday,0,0,0,0,1,0,0
254,1164.09,163,4,Tuesday,0,0,0,0,0,1,0
254,1191.05,158,4,Wednesday,0,0,0,0,0,0,1
254,2056.87,242,5,Friday,1,0,0,0,0,0,0
254,894.39,134,5,Monday,0,1,0,0,0,0,0
254,1740.51,216,5,Saturday,0,0,1,0,0,0,0
254,1047.19,123,5,Sunday,0,0,0,1,0,0,0
254,1562.53,188,5,Thursday,0,0,0,0,1,0,0
254,1140.98,161,5,Tuesday,0,0,0,0,0,1,0
254,1563.66,210,5,Wednesday,0,0,0,0,0,0,1
254,1601.14,219,6,Friday,1,0,0,0,0,0,0
254,1175.71,164,6,Monday,0,1,0,0,0,0,0
254,1161.67,137,6,Saturday,0,0,1,0,0,0,0
254,1037.64,117,6,Sunday,0,0,0,1,0,0,0
254,1573.27,217,6,Thursday,0,0,0,0,1,0,0
